Job Name,Company Name,Location,Level
Giảng Viên Công Nghệ Thông Tin Khoa Học,Trường Đại học CMC,"- Hà Nội: 84C Nguyễn Thanh Bình, Hà Đông",Nhân viên
Database Administrator,CÔNG TY TNHH ĐẦU TƯ TẬP ĐOÀN MẶT TRỜI,"- Hà Nội: Sun City, 13 Hai Bà Trưng, Hoàn Kiếm, Hai Bà Trưng",Nhân viên
Game Tester,Công ty VTC Online,"- Hà Nội: Tòa nhà VTC Online, 18 Tam Trinh, Hai Bà Trưng",Nhân viên
AI Engineer,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ APOLLO,"- Hà Nội: Duy Tân, Cầu Giấy",Nhân viên
Project Manager,CÔNG TY CỔ PHẦN CÔNG NGHỆ SICIX,"- Hà Nội: Tháp Tây, Chung cư học viện bộ Quốc phòng, Xuân La, Tây Hồ",Trưởng/Phó phòng
Game Tester,Winter Wolf - IEC Games,"- Hà Nội: Hoàng Đạo Thuý, Cầu Giấy",Thực tập sinh
Software Engineer Java,Công ty Cổ phần Công nghệ KiotViet,"- Hà Nội: 1A Yết Kiêu - Phường Cửa Nam, Hoàn Kiếm",Nhân viên
Trưởng Nhóm Phân Tích Nghiệp Vụ,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ HOÀNG HUY,"- Hà Nội: Linh Đàm, Hoàng Mai",Trưởng nhóm
ReactJs Developer,Công ty Cổ phần Công nghệ Tài chính Goline,"- Hà Nội: Tòa Nhà Kim Ánh, 78 Duy Tân, Cầu Giấy",Nhân viên
Manual Tester QA,Công ty cổ phần BUFF Fintech,"- Hà Nội: Tầng M, Yên Hòa ParkView, số 3 Vũ Phạm Hàm, Cầu Giấy",Nhân viên
IT Analyst,CÔNG TY CỔ PHẦN GREEN SPEED,"- Hà Nội: Lot 41A & B, Quang Minh IZ, Mê Linh",Nhân viên
2D Game Artist Hà Nội,Văn phòng đại diện NSTAGE INC tại thành phố Hà Nội,"- Hà Nội: đường Hoàng Đạo Thúy, phường Trung Hòa, Cầu Giấy",Nhân viên
Kỹ Thuật Viên,CÔNG TY CỔ PHẦN ĐẦU TƯ VÔ VI,"- Hà Nội: 131 Thịnh Quang, Đống Đa",Nhân viên
,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,"- Hà Nội: Keangnam Landmark 72, Phạm Hùng, Từ Liêm",Nhân viên
,Công ty cổ phần TechLead,"- Hà Nội: Tầng 4 - Số 11 Nguyển Xiển - Thanh Xuân, Thanh Xuân",Trưởng nhóm
Mobile Developer,CÔNG TY CP THƯƠNG MẠI XUẤT NHẬP KHẨU PHƯƠNG KHANG,"- Hà Nội: IP3 Imperial Plaza 360 Giải Phóng, Phương Liệt, Thanh Xuân, Thanh Xuân",Nhân viên
Nhân Viên Vận Hành Hệ Thống,Công Ty TNHH Thương Mại & Xuất Nhập Khẩu Nhất Lâm,"- Hà Nội: H18+19 Ngõ 68 Trung Kín, Cầu Giấy",Nhân viên
Kỹ Sư,FPT Software,"- Hà Nội: Khu công nghệ cao Hòa Lạc, Thạch Thất",Nhân viên
Business Analyst Nhân Viên Phân Tích Nghiệp Vụ,CÔNG TY CỔ PHẦN FIVE-STAR E-LEARNING,"- Hà Nội: 35 Lạc Trung, Hai Bà Trưng",Trưởng nhóm
AI Engineer,CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM,"- Hà Nội: Tầng 11, Toà Peakview, 36 Hoàng Cầu, Ô Chợ Dừa, Đống Đa",Nhân viên
Kỹ Sư,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"- Hà Nội: Tầng 41, Landmark 72, Keangnam, Phạm Hùng, Nam Từ Liêm - Hồ Chí Minh: Tầng 28, Tòa Viettel Complex, CMT8, Quận 10",Nhân viên
C++ Developer,Công ty cổ phần Công nghệ VISSOFT,"- Hà Nội: Tòa Detech, số 8 Tôn Thất Thuyết, Nam Từ Liêm",Nhân viên
Nhân Viên Kỹ Thuật Hà Nội,Công ty CP Công nghệ ATO,"- Hà Nội: Tầng 3, Số 19, Ngõ 68, Quan Nhân,, Thanh Xuân",Nhân viên
Tester,Công ty cổ phần công nghệ ứng dụng Arabica Việt Nam,"- Hà Nội: Số 68 ngõ 72 Dương Khuê, Mỹ Đình 2, Nam Từ Liêm",Nhân viên
Backend Developer,CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM,"- Hà Nội: Tầng 11, Toà Peakview, 36 Hoàng Cầu, Ô Chợ Dừa, Đống Đa",Nhân viên
Backend Developer Java Python,CÔNG TY CỔ PHẦN TẬP ĐOÀN APEC GROUP,"- Hà Nội: Tầng 3, TTTM Grand Plaza, Số 117 Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy",Nhân viên
Kỹ Sư Đảm Bảo Chất Lượng QA Engineer,CÔNG TY CỔ PHẦN  DỊCH VỤ CÔNG NGHỆ BEAM,- Hà Nội,Nhân viên
Trưởng Phòng Công Nghệ,Công Ty Cổ Phần Dịch Vụ Kỹ Thuật Mobifone,"- Hà Nội: Tòa nhà TTC, số 19 Duy Tân, Dịch Vọng Hậu, Cầu Giấy",Trưởng/Phó phòng
Trưởng Nhóm Kỹ Sư Phân Tích Nghiệp Vụ BA,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ ỨNG DỤNG SỐ VIỆT NAM,"- Hà Nội: KĐT Linh Đàm, Hoàng Mai",Trưởng nhóm
Project Manager IT,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ BAVAAN,"- Hà Nội: Căn TT03 – 36, Khu đô thị MonCity, Nam Từ Liêm",Nhân viên
Python Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,- Hà Nội,Trưởng nhóm
Process Quality Assurance,Công ty Cổ phần GEM,"- Hà Nội: Tòa The Nine, số 9 Phạm Văn Đồng, Mai Dịch, Cầu Giấy",Nhân viên
Thực Tập Sinh,Cty Cổ phần Blueco toàn cầu,"- Hà Nội: Duy Tân, Cầu Giấy",Thực tập sinh
Backend Developer,"TECHVIFY SOFTWARE., JSC","- Hà Nội: HUDTOWER, số 37 Lê Văn Lương, Phường Thanh Xuân, Thanh Xuân",Trưởng nhóm
Java Developer,Công ty TNHH Thu phí tự động VETC,"- Hà Nội: Tòa Tasco, hh2-2 Phạm Hùng, Nam Từ Liêm",Nhân viên
Game Design,CÔNG TY TNHH HAPIGA VIỆT NAM,"- Hà Nội: Tòa VOV Mễ Trì, Nam Từ Liêm, Nam Từ Liêm",Thực tập sinh
Thực Tập Sinh Design Game,CÔNG TY CỔ PHẦN YOOTEK HOLDINGS,"- Hà Nội: Tầng 2, Tòa N09B2 Thành Thái, Dịch Vọng, Cầu Giấy",Nhân viên
Frontend Developer Hà Nội,Open Reach Tech Hanoi,"- Hà Nội: 83 Trung Kính, Phường Trung Hòa, Cầu Giấy",Nhân viên
Software Engineer Java,CÔNG TY TNHH VETC DIGITAL,"- Hà Nội: Tasco Building, HH2-2, Phạm Hùng, Nam Từ Liêm",Nhân viên
Product Owner,Công ty cổ phần phần mềm Matechmobile,"- Hà Nội: Tòa nhà Zen Tower, 12 Khuất Duy Tiến,Thanh Xuân Trung, Thanh Xuân, Thanh Xuân",Nhân viên
Product Owner,Công ty Cổ phần INFINITY TECHNOLOGY GLOBAL,"- Hà Nội: Tầng 6, tòa nhà Đồng Lợi, ngõ 1160 đường Láng, Láng Thượng, Đống Đa, Đống Đa",Nhân viên
Python Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,"- Hà Nội: 44 Lê Ngọc Hân, Hai Bà Trưng",Trưởng nhóm
Fullstack Developer Python,Công ty CP Khoa học Dữ liệu,"- Hà Nội: Tầng 4, toà HH2 Yên Hoà, đường Dương Đình Nghệ, Cầu Giấy",Nhân viên
Business Analyst,Công ty Cổ phần Công nghệ Alphaway,"- Hà Nội: Lê Ngọc Hân, Hai Bà Trưng, Hai Bà Trưng",Trưởng nhóm
Senior Business Analyst,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG,"- Hà Nội: 89 Láng Hạ, Đống Đa",Trưởng nhóm
Kỹ Sư AI,CÔNG TY CỔ PHẦN CÔNG NGHỆ UPP TOÀN CẦU,"- Hà Nội: Tòa Web3, Số 15 Ngõ 4 Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Cầu Giấy",Trưởng nhóm
Scrum Master,Vega Corporation,"- Hà Nội: 106 Hoàng Quốc Việt, Cầu Giấy",Nhân viên
,Công ty cổ phần Hạ tầng Viễn thông CMC Telecom,"- Hà Nội: Số 11, Duy Tân, Tòa Nhà CMC, Cầu Giấy",Nhân viên
Trưởng Nhóm Kiểm Thử,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ HOÀNG HUY,"- Hà Nội: Linh đàm, Hoàng Mai",Trưởng nhóm
ERP,Công ty Cổ phần công  nghệ thực phẩm Châu Á,"- Hà Nội: 69 - Tô Hiến Thành, Hai Bà Trưng",Nhân viên
Business Analyst,Công ty cổ phần Tasco,"- Hà Nội: tòa nhà Tasco, Nam Từ Liêm",Nhân viên
Scrum Master,CÔNG TY CỔ PHẦN FIVE-STAR E-LEARNING,"- Hà Nội: 35 Lạc Trung, Hai Bà Trưng",Trưởng nhóm
Flutter Developer,Wavez Technologies,"- Hà Nội: Tòa nhà Golden Palace, Mễ Trì, Nam Từ Liêm, Nam Từ Liêm",Nhân viên
Technical Support Engineer,Công Ty TNHH Avepoint Việt Nam,"- Đà Nẵng: 2F Vinh Trung Plaza, No. 255-257 Hung Vuong, Vinh Trung, Thanh Khê - Hà Nội: Tầng 4, Artemis, Số 3 Lê Trọng Tấn, Phương Liệt, Thanh Xuân",Nhân viên
Artist,CÔNG TY CỔ PHẦN AZ GLOBAL CORP,"- Hà Nội: Tầng 3, tòa nhà FLC Landmark Tower, đường Lê Đức Thọ, phường Mỹ Đình 2, Nam Từ Liêm",Nhân viên
Senior Frontend Developer Angular,Newwave Solutions JSC,"- Hà Nội: Tòa Mitec, Dương Đình Nghệ, Yên Hòa, Cầu Giấy, Cầu Giấy",Nhân viên
Java Developer,Viettel Digital,"- Hà Nội: Tòa Keangnam, Phạm Hùng, Nam Từ Liêm",Trưởng nhóm
Fresher ReactJs,CÔNG TY CỔ PHẦN OKHUB VIỆT NAM,"- Hà Nội: đường dọc bún 2, phường Văn Khê, Hà Đông",Nhân viên
Business Analyst,Công ty Cổ Phần Rikkeisoft,"- Hà Nội: tòa Vinacomin Dương Đình Nghệ, Cầu Giấy",Nhân viên
Chuyên Viên Phân Tích Nghiệp Vụ Business Analyst BA,Công ty Cổ phần Tập đoàn Song Nam,"- Hà Nội: Tầng 2, Tòa N09B2 Thành Thái, Dịch Vọng, Cầu Giấy, Cầu Giấy",Nhân viên
Project Manager Quản Trị Dự Án Công Nghệ Thông Tin,Ngân Hàng TMCP An Bình,- Hà Nội,Nhân viên
QC,Công ty Cổ phần Funtap,"- Hà Nội: Tầng 4, tòa nhà Tây Hà, số 19 Tố Hữu, Nam Từ Liêm",Nhân viên
Nhân Viên IT Support,CÔNG TY CỔ PHẦN FIVE-STAR E-LEARNING,"- Hà Nội: 35 Lạc Trung, Hai Bà Trưng",Trưởng nhóm
Automation Test,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,- Hà Nội: Cầu Giấy,Nhân viên
Engineer,CÔNG TY CỔ PHẦN CÔNG NGHỆ SAVA META,"- Hà Nội: : Unit 5, Tầng 14 Tòa Nhà Century Tower, 458 phố Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng",Nhân viên
,Cty TNHH Thundersoft Việt Nam,"- Hà Nội: Toà nhà Westpoint Tower Đỗ Đức Dục, Nam Từ Liêm, Nam Từ Liêm",Trưởng nhóm
Backend Developer,CÔNG TY CỔ PHẦN ZTO LABS,"- Hà Nội: NIC Hanoi, Ngõ 7 Tôn Thất Thuyết, Dịch Vọng Hậu, Cầu Giấy, Cầu Giấy",Trưởng nhóm
Mobile Developer Flutter,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,- Hà Nội,Trưởng nhóm
Lập Trình Viên Front-End Vuejs,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ NEWWAY,"- Hà Nội: Số 74 Hồ Đền Lừ, Phường Tương Mai, Hoàng Mai",Nhân viên
Nhân Viên QA Tiếng Nhật,CÔNG TY TNHH CÔNG NGHỆ AMCOLAB,"- Hà Nội: Audi Hanoi, 8 Phạm Hùng, phường Mễ Trì TP Hà Nội, Việt Nam, Nam Từ Liêm",Nhân viên
Business Analyst,CÔNG TY TNHH VETC DIGITAL,"- Hà Nội: Tasco Building, HH2-2, Phạm Hùng, Nam Từ Liêm",Nhân viên
C/C++ Developer,CÔNG TY CỔ PHẦN AHT TECH,"- Hà Nội: Toà Mitec, Đường Dương Đình Nghệ, Cầu Giấy, Cầu Giấy",Trưởng nhóm
Dự Án Game,CÔNG TY CỔ PHẦN ADNX,"- Hà Nội: Số 20-16B1, Làng Việt Kiều Châu Âu, Phường Hà Đông, Hà Đông",Nhân viên
Game Artist Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ ONECHAIN,- Hà Nội: Đống Đa,Nhân viên
Quản Lý Triển Khai Dự Án,CÔNG TY CỔ PHẦN TẬP ĐOÀN IVI,"- Hà Nội: Tòa VOV, 35 Nguyễn Đình Chiểu, Lê Đại Hành, Hai Bà Trưng - Hồ Chí Minh: Nguyễn XÍ, Bình Thạnh",Quản lý / Giám sát
Tester,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,- Hà Nội,Trưởng nhóm
Manual Tester,Công ty cổ phần PayPay,"- Hà Nội: 34 Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy",Nhân viên
Manual Tester,CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG THỂ HỆ MỚI (NMS),"- Hà Nội: Tòa nhà Mỹ Đình Plaza, 138 Trần Bình, Nam Từ Liêm",Trưởng nhóm
Net Developer,Tập Đoàn Novaon,- Hà Nội: Cầu Giấy,Nhân viên
Java Developer,Công ty cổ phần Sphinx,"- Hà Nội: Tầng 1, Tòa nhà HL, số 6/82 đường Duy Tân, phường Dịch Vọng Hậu, Cầu Giấy - Hà Nội: Đống Đa",Nhân viên
Fullstack Developer Java Reactjs,CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,"- Hà Nội: Tòa PVI, Số 1 Phạm Văn Bạch, Yên Hòa, Cầu Giấy",Nhân viên
Fullstack Developer PHP Laravel,Công ty TNHH Lisod Việt Nam,"- Hà Nội: FLC FLC Landmark Tower Ngõ 60 P. Dương Khuê, Mỹ Đìn, Nam Từ Liêm",Nhân viên
Mobile Developer Android IOS,Công ty Cổ phần MISA,"- Hà Nội: N03T1, Khu Ngoại Giao Đoàn, Bắc Từ Liêm",Nhân viên
Nhân Viên Tester QC Tester,Công ty Cổ phần Công nghệ Tài chính Goline,"- Hà Nội: 78 Duy Tân, Cầu Giấy",Nhân viên
Fresher Quality Assurance QA,FPT Software,"- Hà Nội: FPT Tower - Số 10 Phạm Văn Bạch, Cầu Giấy - Hà Nội: Hòa Lạc (có xe đưa đón), Thạch Thất",Nhân viên
Chuyên Viên An Toàn Thông Tin,Công Ty Cổ Phần VCCorp - SohaGame,"- Hà Nội: 85 Vũ Trọng Phụng, Thanh Xuân, Thanh Xuân",Nhân viên
Trợ Lý Dự Án,Công ty cổ phần dịch vụ Viễn Thông Sô,"- Hà Nội: Tầng 3, Tháp B, Tòa nhà GreenPearl 378 Minh Khai, Vĩnh Tuy, Hai Bà Trưng",Nhân viên
Lập Trình Viên Android,EZTech & CDT Games Studio,"- Hà Nội: Iris Garden, Số 30 đường Trần Hữu Dực, P. Mỹ Đình 2, Nam Từ Liêm",Nhân viên
Kỹ Sư Hà Nội,CÔNG TY TNHH HANOI BIM CENTER,"- Hà Nội: Tầng 6, Toà nhà EuroWindow, số 27 đường Trần Duy Hưng, Phường Yên Hoà, Thành phố Hà Nội, Việt Nam, Cầu Giấy",Nhân viên
Full Stack Developer,CÔNG TY CỔ PHẦN ĐẦU TƯ TOÀN CẦU GIFT,"- Hồ Chí Minh: 110-112 Nguyễn Thị Nhung, Hiệp Bình Phước, Thủ Đức, Thủ Đức - Hà Nội: HD09-SP.BH-62 Vinhomes Ocean Park, Gia Lâm, Gia Lâm",Nhân viên
Kỹ Sư Hệ Thống Cloud Engineer,Công Ty Cổ Phần VCCorp,"- Hà Nội: Toà Center Building, 85 Vũ Trọng Phụng,, Thanh Xuân",Nhân viên
Engineer Kỹ Sư Lập Trình Nhúng,Công ty Cổ phần Công nghệ Pavana,"- Hà Nội: Tòa nhà The Vista, số 4, ngõ 15 Duy Tân, Cầu Giấy, Cầu Giấy",Nhân viên
Business Analyst BA Nhân Viên Phân Tích Nghiệp Vụ Chứng Khoán Quận 1 Cầu Giấy Hà Nội,CÔNG TY TNHH GROOO INTERNATIONAL,"- Hà Nội: Tầng 5, Tòa nhà IDMC Duy Tân, Số 21 Đường Duy Tân, Phường Cầu Giấy, Thành phố Hà Nội, Việt Nam, Cầu Giấy - Hồ Chí Minh: 3C Tôn Đức Thắng, phường Bến Nghé, Quận 1",Nhân viên
Devops Engineer,CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ NGS,"- Hà Nội: 6th Element Nguyễn Văn Huyên, KĐT Tây Hồ Tây, Tây Hồ - Hà Nội: 6th Element Nguyễn Văn Huyên, phường Nghĩa Đô, Cầu Giấy",Trưởng nhóm
Business Analyst,Công ty cổ phần Synodus,"- Hà Nội: 15th Floor CIC Tower, 2/219 Trung Kinh, Yen Hoa Ward, Cau Giay Distric, Cầu Giấy",Trưởng nhóm
Chuyên Viên Phát Triển Ứng Dụng Mobile Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALADIN,"- Hà Nội: Tầng 4, Tòa nhà Văn Phòng HH1 Meco Complex, Ng. 102 Trường Chinh, Phương Mai, Đống Đa",Nhân viên
,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,"- Hà Nội: Nhà khách ATS, số 8 Phạm Hùng, Nam Từ Liêm, Nam Từ Liêm - Hà Nội: Cầu Giấy - Hà Nội: Thanh Xuân",Nhân viên
AI Engineer IT,ORBRO Inc.,- Hà Nội: Cầu Giấy,Nhân viên
Tech Lead NodeJS ReactJS,CÔNG TY TNHH SOFTFLEX LLC,"- Hà Nội: Epic Tower, ngõ 19 Duy Tan, Cầu Giấy",Nhân viên
Automation Tester Hà Nội,Công ty cổ phần Công nghệ thông tin Phú Minh (Phú Minh Teck),"- Hà Nội: Tòa Keangnam, Phạm Hùng, Nam Từ Liêm, Nam Từ Liêm",Nhân viên
System Admin Quản Trị Hệ Thống,Công Ty Truyền Thông Và Công Nghệ ICOMM Việt Nam,"- Hà Nội: 48 Tố Hữu, Nam Từ Liêm",Nhân viên
React Native,Công ty cổ phần Synodus,- Hồ Chí Minh - Hà Nội,Trưởng nhóm
Frontend Developer,CÔNG TY CỔ PHẦN ZTO LABS,"- Hà Nội: NIC Hanoi, Ngõ 7 Tôn Thất Thuyết, Dịch Vọng Hậu, Cầu Giấy, Cầu Giấy",Trưởng nhóm
Quản Trị Hệ Thống System Engineer DBA,Công ty Cổ phần Đầu tư Phát triển Công nghệ và Truyền thông,"- Hà Nội: Tầng 2, CT2 Tràng An Complex, số 1 Phùng Chí Kiên, Nghĩa Đô, Cầu Giấy, Cầu Giấy",Nhân viên
,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,- Hà Nội,Nhân viên
,CÔNG TY CỔ PHẦN OMINEXT,"- Hà Nội: Tầng 13, tòa nhà 789 số 147 Hoàng Quốc Việt, Cầu Giấy",Trưởng chi nhánh
Project Manager IT Hà Nội,CHI NHÁNH TẠI THÀNH PHỐ HÀ NỘI – CÔNG TY TNHH REERACOEN VIỆT NAM,- Hà Nội,Trưởng/Phó phòng
Test Engineer,Công ty Cổ phần Công nghệ KiotViet,"- Hà Nội: 1A Yết Kiêu - Phường Cửa Nam, Hoàn Kiếm",Nhân viên
Kỹ Sư Cầu Nối BrSE,Newwave Solutions JSC,"- Hà Nội: Tòa Mitec, Dương Đình Nghệ, Yên Hòa, Cầu Giấy, Cầu Giấy",Nhân viên
Manual Tester Kiểm Thử Phần Mềm,CÔNG TY CỔ PHẦN STRINGEE,"- Hà Nội: Tầng 17 VP 2, Tòa nhà Sunsquare, 21 Lê Đức Thọ, Nam Từ Liêm",Nhân viên
Product Owner,Viettel IDC,"- Hà Nội: 85 Vũ Trọng Phụng, Thanh Xuân, Thanh Xuân",Trưởng nhóm
Software Developer,Asilla Việt Nam,"- Hà Nội: ố 6 ngõ 82 Duy Tân - Dịch Vọng Hậu, Cầu Giấy",Nhân viên
Lập Trình Viên Backend NodeJS,CÔNG TY CỔ PHẦN HTN SOFTWARE,"- Hà Nội: Số 190C4 Nguyễn Cảnh Dị, phường Đại Kim, Hoàng Mai, Hoàng Mai",Trưởng nhóm
Java Backend,Công ty TNHH Dịch vụ công nghệ TP,"- Hà Nội: Tầng 2 tháp A, Toà nhà Rivera Park, 69 Vũ Trọng Phụng, P. Thanh Xuân Trung, Thanh Xuân",Nhân viên
Java Backend Techlead Chứng Khoán,CÔNG TY TNHH CHARTERTECH GLOBAL,"- Hà Nội: 265 Cầu Giấy, Cầu Giấy",Trưởng nhóm
Lập Trình Viên,CÔNG TY CỔ PHẦN PHẦN MỀM THĂNG LONG,"- Hà Nội: Tòa Diamond Flower, 48 Lê Văn Lương, Thanh Xuân",Nhân viên
Reactjs Developer,CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG THỂ HỆ MỚI (NMS),"- Hà Nội: Toà nhà Mỹ Đình Plaza, 138 Trần Bình, Nam Từ Liêm",Trưởng nhóm
IT Project Manager,CÔNG TY TNHH TIMIND,"- Hà Nội: Tòa FAFIM A, 19 Nguyễn Trãi, Thanh Xuân",Quản lý / Giám sát
Project Manager,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,"- Hà Nội: Tầng 3, Tòa Tháp Đông, Chung cư Học viện Quốc Phòng, Xuân La, Tây Hồ",Nhân viên
Lập Trình Viên Back-End,CÔNG TY CỔ PHẦN FIVE-STAR E-LEARNING,"- Hà Nội: 35 Lạc Trung, Hai Bà Trưng",Trưởng nhóm
Trưởng Nhóm,Công ty Cổ phần Tập đoàn Meey Land,"- Hà Nội: 97-99 Láng Hạ, Đống Đa",Trưởng nhóm
Frontend Developer,Công Ty TNHH Townsoft Vina,"- Hà Nội: Số 3 - A24 Ngõ 385 Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy",Nhân viên
Tester,BSS Group,"- Hà Nội: Toà Viwaseen, 48 Tố Hữu, Nam Từ Liêm, Nam Từ Liêm",Nhân viên
Chuyên Viên Vận Hành Hệ Thống,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHỆ VÀ THƯƠNG MẠI WIINVENT,"- Hà Nội: 96 Hoàng Ngân, Cầu Giấy",Nhân viên
Kỹ Sư,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"- Hà Nội: Tòa nhà Epic, ngõ 19 Duy Tân, Cầu Giấy",Nhân viên
Full-Stack Developer,BSS Group,"- Hà Nội: Toà Viwaseen, 48 Tố Hữu, Nam Từ Liêm",Nhân viên
Quản Lý Dự Án,Công Ty Tài Chính Tổng hợp Cổ Phần Tín Việt,"- Hà Nội: 98 Hoàng Quốc Việt, Cầu Giấy",Trưởng nhóm
IT Comtor Tiếng Nhật,Công TY TNHH FLINTERS Việt Nam,"- Hà Nội: Discovery Complex, 302 Cầu Giấy, Dịch Vọng, Cầu Giấy, Cầu Giấy",Nhân viên
Ads,Zitga studios,"- Hà Nội: Tòa nhà Toyota Thanh Xuân, số 315 Trường Chinh, Thanh Xuân",Trưởng nhóm
Developer,CÔNG TY TNHH ZINZA TECHNOLOGY,"- Hà Nội: Toà nhà Hoàng Ngọc, Ngõ 82 Dịch Vọng Hậu, Cầu Giấy",Nhân viên
DevOps Engineer,Công ty Cổ phần Công Nghệ Var Meta,"- Hà Nội: 63 Lê Văn Lương, Trung Hòa, Cầu Giấy",Nhân viên
Kỹ Sư Mạng,TỔNG CÔNG TY CÔNG NGHỆ - VIỄN THÔNG TOÀN CẦU,"- Hà Nội: 103 Nguyễn Tuân, Thanh Xuân",Nhân viên
Lập Trình Viên Java,Công ty Cổ phần Truyền thông VMG,"- Hà Nội: Tầng 6, Toà Peakview, 36 Hoàng Cầu, Đống Đa",Nhân viên
PQA Process Quality Assurance,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,"- Hà Nội: Keangnam Landmark 72, Phạm Hùng, Từ Liêm",Nhân viên
